No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,"Comment allez-vous ?

(C'est une salutation courante en Wolof qui signifie littéralement ""Comment es-tu ?"" et qui équivaut à ""Comment ça va ?"" en français.)",0.655
3,Mangui gui fi,Je vais bien,"Traduction :
""Je suis ici""

Explication : 
- ""Mangui"" signifie ""Je suis""
- ""gui"" signifie ""ici""
- ""fi"" est aussi une façon de dire ""ici"" en wolof

La phrase est simple et directe, indiquant la présence de la personne qui parle à un endroit précis.",0.364
4,iow nak no def ?,Et toi comment va tu ?,"Comment allez-vous ? (Littéralement : ""Alors, comment ça va ?"")

C'est une salutation courante en Wolof, utilisée pour demander à quelqu'un comment il va.",0.592
5,Mangui ci diam,Ca va,"Traduction : ""Je suis à la maison""

Explication : 
- ""Mangui"" signifie ""Je suis""
- ""Ci"" est une préposition qui signifie ""à""
- ""Diam"" signifie ""maison""

La phrase complète exprime donc la localisation de la personne qui parle, indiquant qu'elle est chez elle.",0.306
6,Kay gnou lekk,Viens on mange,"Traduction : ""Je veux manger""

Explication :
- ""Kay"" signifie ""Je""
- ""Gnou"" signifie ""vouloir""
- ""Lekk"" signifie ""manger""

La phrase complète ""Kay gnou lekk"" exprime donc le désir de manger du locuteur.",0.499
7,Gnata att nga am ?,Quelle age as-tu ?,"Traduction : ""Comment vas-tu ?"" 

Explication : C'est une formule de salutation courante en Wolof, qui demande littéralement ""Comment es-tu ?"" ou ""Comment allez-vous ?"". C'est une manière polie et amicale de demander à quelqu'un comment il se porte.",0.458
8,Tay dama woorr,J'ai jeûné aujourd'hui,"Traduction : ""Aujourd'hui je suis fatigué""

Explication : 
- ""Tay"" signifie ""aujourd'hui""
- ""Dama"" est une construction verbale qui signifie ""je suis""
- ""Woorr"" signifie ""fatigué"" ou ""las""",0.417
9,Fane nga deuk ?,Où est-ce que tu habites ?,"Traduction : ""Comment vas-tu ?"" (Littéralement : ""Es-tu bien assis ?"")

C'est une salutation courante en Wolof qui demande à la personne comment elle va, en utilisant une expression qui fait référence au fait d'être bien installé, de se porter bien.",0.407
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,"Traduction : ""Comment t'appelles-tu ?""

Cette phrase est une question en Wolof qui demande le nom de la personne. Littéralement, ""Nane nga toudou ?"" signifie ""Quel est ton nom ?""",0.642
11,Mangui toudou X,Je m'appelle X,"Voici la traduction en français :

""Je m'appelle X""

Explication : 
- ""Mangui"" signifie ""Je suis""
- ""Toudou"" signifie ""nommé"" ou ""appelé""
- ""X"" représente le nom propre

C'est une phrase courante en wolof pour se présenter et dire son nom.",0.715
