No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Comment vas-tu ?,0.812
3,Mangui gui fi,Je vais bien,"""Il y a de l'espoir ici.""",0.340
4,iow nak no def ?,Et toi comment va tu ?,"""Iow nak no def"" signifie ""J'ai besoin de ça"" en français.",0.344
5,Mangui ci diam,Ca va,Nous sommes dans la paix.,0.433
6,Kay gnou lekk,Viens on mange,Tu es très intelligent.,0.457
7,Gnata att nga am ?,Quelle age as-tu ?,Comment se porte votre mère ?,0.349
8,Tay dama woorr,J'ai jeûné aujourd'hui,Je suis en retard.,0.330
9,Fane nga deuk ?,Où est-ce que tu habites ?,"""As-tu mangé ?"" ou ""Avez-vous mangé ?""",0.433
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Tu as fini ?,0.217
11,Mangui toudou X,Je m'appelle X,Le vent souffle fort.,0.227
12,Dama la sokhla,J'ai besoin de toi,Je t'aime / Je suis amoureux(se) de toi.,0.604
13,Dama khiff,J'ai faim,Je me sens triste.,0.328
14,Dama marr,J'ai soif,"""Le vent souffle.""",0.391
15,Mangui joko si leund mi,Je me connecte sur le web,"""Le coeur bat fort""",0.452
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,Je suis debout depuis le matin sans aucun repos.,0.272
17,Dama beug ndekki,Je veux prendre un petit déjeuner,Je veux acheter du pain.,0.536
18,Dama beug Agne,Je veux prendre un déjeuner,"Je t’aime, Agne.",0.312
19,Dama beug rére,Je veux prendre un dîner,Je suis en train de cuisiner.,0.444
20,Damay takk jabar,Je vais me marier,Je prépare la mariée.,0.538
21,Mayma khaliss,Donne moi de l'argent,L'argent est clair.,0.550
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,Quelle heure est-il maintenant ?,0.744
23,Dama sonne,Je suis fatigué,Dama est venu.,0.303
24,Bu la neexee,S’il vous plaît,"Cette phrase en Wolof signifie ""C'est bon"" ou ""C'est bien"" en français. Elle est utilisée pour exprimer une satisfaction ou une approbation positive.",0.285
25,Amul sólo,Je vous en prie,Travail dur,0.355
26,Kay niou dem,Viens on y va,"""C'est pour ça.""",0.128
