No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Tu vas bien ?,0.677
3,Mangui gui fi,Je vais bien,Je pensais à toi.,0.518
4,iow nak no def ?,Et toi comment va tu ?,Comment allez-vous aujourd'hui ?,0.548
5,Mangui ci diam,Ca va,Mange ci un diamètre,0.408
6,Kay gnou lekk,Viens on mange,Je te regarde.,0.278
7,Gnata att nga am ?,Quelle age as-tu ?,Comment allez-vous ?,0.376
8,Tay dama woorr,J'ai jeûné aujourd'hui,Tout va bien avec le monde.,0.384
9,Fane nga deuk ?,Où est-ce que tu habites ?,Comment allez-vous ?,0.298
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Ça va ?,0.085
11,Mangui toudou X,Je m'appelle X,Mangez toutes sortes de poissons !,0.250
12,Dama la sokhla,J'ai besoin de toi,"Maintenant, c'est terminé.",0.473
13,Dama khiff,J'ai faim,Finalement ça ira.,0.467
14,Dama marr,J'ai soif,Bien sûr.,0.400
15,Mangui joko si leund mi,Je me connecte sur le web,Regarde la lune jaune.,0.422
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,Seul l'échec véritable est de ne pas essayer du tout.,0.251
17,Dama beug ndekki,Je veux prendre un petit déjeuner,"Damas, laisse-moi prendre le relais.",0.520
18,Dama beug Agne,Je veux prendre un déjeuner,Cela ne sert à rien de se plaindre,0.427
19,Dama beug rére,Je veux prendre un dîner,Je suis ravi de t'aider encore une fois.,0.377
20,Damay takk jabar,Je vais me marier,Une occasion à ne pas manquer,0.544
21,Mayma khaliss,Donne moi de l'argent,Pas de problème,0.310
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,Quand est-ce que tu arrives ?,0.471
23,Dama sonne,Je suis fatigué,Son téléphone sonne.,0.321
24,Bu la neexee,S’il vous plaît,Tu es incroyable.,0.387
25,Amul sólo,Je vous en prie,Tu es seul.,0.333
26,Kay niou dem,Viens on y va,Comment ça va?,0.411
