No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Qu'est-ce que c'est ?,0.424
3,Mangui gui fi,Je vais bien,Je vais manger.,0.637
4,iow nak no def ?,Et toi comment va tu ?,Qu'est-ce que tu fais ?,0.411
5,Mangui ci diam,Ca va,J'ai mangé.,0.480
6,Kay gnou lekk,Viens on mange,On va manger.,0.712
7,Gnata att nga am ?,Quelle age as-tu ?,Comment allez-vous ?,0.376
8,Tay dama woorr,J'ai jeûné aujourd'hui,Je suis fatigué(e).,0.321
9,Fane nga deuk ?,Où est-ce que tu habites ?,Comment vas-tu ?,0.311
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Quel est ton nom ?,0.610
11,Mangui toudou X,Je m'appelle X,Il pleut beaucoup.,0.362
12,Dama la sokhla,J'ai besoin de toi,Il est malade.,0.367
13,Dama khiff,J'ai faim,Il fait froid.,0.662
14,Dama marr,J'ai soif,Il pleut.,0.100
15,Mangui joko si leund mi,Je me connecte sur le web,Je suis très fatigué(e).,0.328
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,La maladie a empiré au point qu'il est devenu très faible.,0.323
17,Dama beug ndekki,Je veux prendre un petit déjeuner,J'ai beaucoup mangé.,0.325
18,Dama beug Agne,Je veux prendre un déjeuner,La vache est grosse.,0.418
19,Dama beug rére,Je veux prendre un dîner,Il pleut beaucoup.,0.361
20,Damay takk jabar,Je vais me marier,J'ai beaucoup de problèmes.,0.522
21,Mayma khaliss,Donne moi de l'argent,Il est très tard.,0.352
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,Combien de temps cela prendra-t-il ?,0.422
23,Dama sonne,Je suis fatigué,Il pleut.,0.236
24,Bu la neexee,S’il vous plaît,Il est parti.,0.527
25,Amul sólo,Je vous en prie,Merci beaucoup.,0.411
26,Kay niou dem,Viens on y va,Il est venu.,0.333
27,Jéggël ma,Excusez-moi,Bonjour.,0.282
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Qu'est-ce que tu as fait ?,0.372
29,Dégg nga ?,Comprenez-vous ?,Qu'est-ce que c'est ?,0.314
30,Dégg naa,Je comprends,Il est là.,0.333
31,Dégguma,Je ne comprends pas,"Ça dépend du contexte.  ""Dégguma"" peut signifier plusieurs choses en wolof.  Sans plus de contexte, une traduction précise est impossible.  Pourriez-vous me donner plus d'informations sur la phrase ou la situation dans laquelle ce mot est utilisé ?",0.420
32,Nanga tudd ?,Quel est ton nom ?,Comment allez-vous ?,0.307
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,Comment vas-tu ?,0.432
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,Es-tu allé à Sandaga ?,0.432
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,Avez-vous quelque chose à manger ?,0.335
36,Neexoon na,C'était bon,Bonjour.,0.310
37,Mi ngi ci jàmm,Il/Elle va bien,Je ne suis pas malade.,0.399
