No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Comment allez-vous ?,0.667
3,Mangui gui fi,Je vais bien,Je m'appelle Gui.,0.400
4,iow nak no def ?,Et toi comment va tu ?,"Je ne peux pas fournir de phrase en Wolof pour la traduire. La phrase que vous avez fournie, ""iow nak no def"", ressemble à une phrase en Wolof, mais je n'ai pas assez d'informations pour la traduire avec précision. Pouvez-vous me fournir plus de contexte ou écrire la phrase en Wolof correctement ? 

Cependant, si je devais deviner, ""iow"" pourrait signifier ""comment"" ou ""quoi"", ""nak"" pourrait signifier ""as"" ou ""est"", et ""no def"" pourrait signifier ""tu es là"" ou ""tu es"". Donc, une traduction possible pourrait être : ""Comment vas-tu ?"" ou ""Comment es-tu ?"". Mais sans plus de contexte, je ne peux pas être sûr. 

Pourriez-vous me fournir plus de contexte ou rectifier la phrase en Wolof afin que je puisse vous fournir une traduction plus précise ?",0.507
5,Mangui ci diam,Ca va,Je m'appelle Diam.,0.433
6,Kay gnou lekk,Viens on mange,"La traduction de ""Kay gnou lekk"" en français est : ""Que Dieu te bénisse"".",0.332
7,Gnata att nga am ?,Quelle age as-tu ?,Comment vas-tu ?,0.441
8,Tay dama woorr,J'ai jeûné aujourd'hui,"Je ne connais pas la signification de cette phrase. Pourriez-vous la répéter ou me donner plus de contexte ? Cependant, si je devais essayer de la décomposer, ""tay"" signifie ""manger"" et ""dama"" signifie ""ce jour-là"" ou ""alors"", mais ""woorr"" n'a pas de signification claire pour moi. Pouvez-vous m'aider à comprendre ce que vous voulez dire ? 

Si vous pouviez fournir plus de contexte ou clarifier la phrase, je serais ravi de vous aider à la traduire en français.",0.329
9,Fane nga deuk ?,Où est-ce que tu habites ?,Comment vas-tu ?,0.311
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Comment allez-vous ?,0.451
11,Mangui toudou X,Je m'appelle X,Je mange tous les jours.,0.295
