No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Qui es-tu?,0.427
3,Mangui gui fi,Je vais bien,"La traduction de ""Mangui gui fi"" en français est : ""Je m'appelle""",0.349
4,iow nak no def ?,Et toi comment va tu ?,Qu'est-ce que ça veut dire?,0.379
5,Mangui ci diam,Ca va,Je m'appelle Dien,0.340
6,Kay gnou lekk,Viens on mange,Que la paix soit avec toi.,0.421
7,Gnata att nga am ?,Quelle age as-tu ?,Comment vas-tu ?,0.441
8,Tay dama woorr,J'ai jeûné aujourd'hui,"Je pense que la traduction de ""Tay dama woorr"" en français est : ""C'est mon ami"".",0.375
9,Fane nga deuk ?,Où est-ce que tu habites ?,Comment vas-tu?,0.311
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Qu'est-ce que cela coûte ?,0.667
11,Mangui toudou X,Je m'appelle X,"Je ne peux pas traduire ""Mangui toudou X"" car cela ressemble à une formule mathématique ou un code, plutôt qu'une phrase en wolof. Pourriez-vous me donner plus de contexte ou répéter la phrase en wolof que vous souhaitez traduire?",0.504
12,Dama la sokhla,J'ai besoin de toi,"Bonjour, comment vas-tu?",0.424
13,Dama khiff,J'ai faim,Bonjour à toi!,0.417
14,Dama marr,J'ai soif,Bonne nuit,0.387
15,Mangui joko si leund mi,Je me connecte sur le web,Personne ne vit éternellement.,0.477
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,"Voici une traduction possible de la phrase ""Dama beug lou jeum si waloum xarala"" :

""Mais qu'est-ce qu'il y a entre le ciel et la terre?"" 

Ou de manière plus idiomatique : 

""Qu'est-ce qui se passe entre le ciel et la terre?"" 

Cette traduction conserve le sens de la phrase wolof qui semble exprimer une interrogation sur ce qui se passe entre le ciel et la terre, peut-être dans un sens métaphorique.",0.316
17,Dama beug ndekki,Je veux prendre un petit déjeuner,"Je suis désolé, mais il semble que vous ayez fait une erreur de frappe ou que le mot ""ndekki"" ne soit pas reconnu dans le wolof que je connais. Cependant, si vous voulez dire ""Dama beug"" ou quelque chose de similaire, voici une traduction possible :

- ""Dama"" signifie ""la paix"" ou ""le calme"".
- ""Beug"" signifie ""la chance"" ou ""le bonheur"".

Si vous aviez voulu dire ""Dama beug"", cela pourrait se traduire par ""Bonne chance"" ou ""Que la paix soit avec vous"", mais cela dépend veel du contexte. Pourriez-vous préciser ou corriger la phrase?",0.388
18,Dama beug Agne,Je veux prendre un déjeuner,Je vais le battre Agne,0.408
19,Dama beug rére,Je veux prendre un dîner,"Je vais essayer de traduire la phrase ""Dama beug rére"" de Wolof vers le Français.

La traduction de ""Dama beug rére"" est ""Je n'aime pas cette situation"" ou plus littéralement ""Je n'aime pas cette affaire"". Cependant, dans le contexte wolof, cela peut se traduire par ""Je déteste cela"" ou ""Je n'apprécie pas cela"", selon le contexte dans lequel la phrase est utilisée.",0.351
20,Damay takk jabar,Je vais me marier,Je m'appelle Jabar,0.379
21,Mayma khaliss,Donne moi de l'argent,C'est ma sœur,0.430
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,Qu'est-ce que tu veux manger?,0.448
23,Dama sonne,Je suis fatigué,"Allô, bonjour",0.327
24,Bu la neexee,S’il vous plaît,Je suis fatigué(e),0.508
25,Amul sólo,Je vous en prie,Bonne nuit,0.275
26,Kay niou dem,Viens on y va,Tu es comment ?,0.278
27,Jéggël ma,Excusez-moi,Merci beaucoup.,0.380
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Combien ça coûte ?,0.297
29,Dégg nga ?,Comprenez-vous ?,Votre nom est quoi ?,0.283
30,Dégg naa,Je comprends,Je m'appelle,0.447
31,Dégguma,Je ne comprends pas,Demain,0.239
32,Nanga tudd ?,Quel est ton nom ?,Comment allez-vous ?,0.307
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,Votre traduction est : Quel est ton nom?,0.566
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,Qu'est-ce qu'il y a au Sandaga marché ?,0.472
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,Comment allez-vous aujourd'hui ?,0.457
36,Neexoon na,C'était bon,Je m'appelle,0.150
37,Mi ngi ci jàmm,Il/Elle va bien,Je suis fatigué,0.290
38,Ñaata lay jar ?,Combien ça coûte ?,Comment allez-vous ?,0.625
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,"""Qu'est-ce que vous allez faire?""",0.333
40,Seer na lool,C'est très cher,C'est bon ou c'est bien,0.558
41,Wagniil mako,Diminue moi ça,Bonjour à la maison,0.463
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Comment allez-vous ?,0.374
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Qu'est-ce que tu as fait?,0.472
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,Demain je vais aller à la maison de mon oncle.,0.486
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,"Je pense que la traduction est : ""Je vais chez mes voisins pour leur demander à manger"".",0.436
46,Dama nékone daara dja,J'étais à l'école,Je vais à l'école demain.,0.693
47,Damay saakou xam-xam,Je suis à la quête de connaissance,Il fait très froid ce matin.,0.319
48,Nianal ma !,Prie pour moi !,Bonjour à toi !,0.533
49,Témérri Diouni,Cent milles,Bienvenue chez Diouni,0.402
50,Damala beug,Je t'aime,Je vais au marché,0.411
51,Dama gueuméntou,J'ai sommeil,"La traduction de ""Dama gueuméntou"" du wolof au français est ""Je suis fatigué""",0.317
52,Dama beug nelaw,Je veux dormir,C'est tout à fait neuf,0.345
53,Fane nga dieum ni ?,Où vas-tu ?,Comment vas-tu oggi ?,0.600
54,Nélaww gua bou baxx ?,as tu bien dormi ?,"Votre traduction de ""Nélaww gua bou baxx"" en français est : ""Qu'est ce que vous avez fait?""",0.303
55,Testou sansement bant yi,Test des mises à jours des branches,"Je pense que la traduction est : ""Les gens sont contents"" ou plus précisément ""Les gens sont heureux"".",0.448
56,Yalla baxna,ça ira,Allons-y ensemble ou Allons-y tous ensemble,0.180
57,fane yi dara doxoul,Rien ne marche ces temps-ci,"Dara signifie ""manger"" et Doxoul signifie ""riz"", donc ""fane yi dara doxoul"" se traduit par ""ils vont manger du riz"".",0.402
58,Dieureudieuf,Merci,"Dieureudieuf signifie ""bonjour"" ou ""salut"" en wolof. C'est une forme de salutation informelle utilisée pour accueillir quelqu'un ou exprimer une bonne journée.",0.336
59,Touti,un peu,Personne,0.455
60,Kay,viens,"Je peux vous aider à traduire des textes ou des phrases du wolof vers le français! Mais pour votre phrase ""Kay"", la traduction dépend du contexte. Cependant, ""kay"" signifie généralement ""qu'est-ce que"" ou est utilisé pour demander une chose. Une traduction possible pourrait être ""Qu'est-ce que c'est?"" ou selon le contexte ""Quoi?"" ou ""Comment cela?"". Pourriez-vous fournir plus de détails ou de contexte pour une traduction plus précise?",0.471
61,Kay Agne,viens manger,"Merci de m'avoir donné cette phrase à traduire ! Kay Agne se traduit par ""Que Dieu vous bénisse"" en français.",0.394
62,Damay touki,je voyage,Bonjour à vous,0.308
63,Bokk na,Je participe,"Bonjour à vous (littéralement, ""Bokk"" signifie ""bonjour"" ou ""salut"" et ""na"" signifie ""vous"" ou ""à vous"")",0.272
64,Dama beugue diangue.,J'aime les études.,Je suis fatigué aujourd'hui.,0.390
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,Je suis fatigué de rester dans cette maison.,0.476
66,Ab paaka la yore.,Il a un couteau sur lui.,Il n'est pas parti hier.,0.380
67,Dama khiff.,J'ai faim.,Je m'appelle Khiff.,0.365
68,Dama ame ndadjé.,J'ai un rendez-vous.,Je m'appelle Ndadjé.,0.365
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,"Je vous remercie (litteralement : ""merci à vous"").",0.313
70,Awa diangue Kate la.,Awa est un bon élève,Awa donne à manger à Kate.,0.551
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,Ce mouvement est l'un des principaux facteurs de la croissance et du développement de la ville de Dakar.,0.404
72,Beugouma carote.,Je n'aime pas les carottes.,Je vais manger des carottes.,0.670
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,Je m'appelle Médoune.,0.477
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,"Demain, j'irai chercher une pomme.",0.594
75,Dama taxaw!,Je suis debout!,Je m'appelle !,0.150
76,Beugouma,Je n'aime pas,Bonjour,0.158
77,Maa ngi dem,Je m’en vais,Je m'appelle,0.286
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,Que Dieu vous protège et vous garde.,0.533
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,Les enseignants sont allés se promener dans les montagnes.,0.441
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,Ce que vous avez dit est vrai.,0.451
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,"Je pense que vous avez peut-être fait une erreur de frappe ou que la phrase n'est pas complète. ""Guy dana juri dég"" ne semble pas être une phrase valide en wolof.

Pourriez-vous répéter ou fournir plus de contexte afin que je puisse vous aider à trouver la traduction correcte ?",0.453
82,Daay fay!,Ca paye!,Bonne journée !,0.278
83,Ko yaab iow!,Tu qui on se moques là,C'est super! ou C'est génial!,0.401
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Je m'appelle Melokane!,0.204
85,Dama taxaw!,Je suis debout!,Bonjour !,0.325
