No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Comment ça va ?,0.830
3,Mangui gui fi,Je vais bien,Je suis ici.,0.475
4,iow nak no def ?,Et toi comment va tu ?,Que faire alors ?,0.372
5,Mangui ci diam,Ca va,Je suis dans le sable.,0.400
6,Kay gnou lekk,Viens on mange,Où allons-nous manger ?,0.591
7,Gnata att nga am ?,Quelle age as-tu ?,Combien as-tu d'années ?,0.573
8,Tay dama woorr,J'ai jeûné aujourd'hui,Je suis en colère.,0.309
9,Fane nga deuk ?,Où est-ce que tu habites ?,Comment ça va ?,0.271
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Comment vas-tu ?,0.416
11,Mangui toudou X,Je m'appelle X,Je viens de X.,0.604
12,Dama la sokhla,J'ai besoin de toi,Je te manque.,0.337
13,Dama khiff,J'ai faim,Je suis fatigué.,0.531
14,Dama marr,J'ai soif,Je suis fatigué.,0.515
15,Mangui joko si leund mi,Je me connecte sur le web,Je suis assis sur le banc.,0.306
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,Je n'aime pas ce qui est ennuyeux.,0.318
17,Dama beug ndekki,Je veux prendre un petit déjeuner,Je suis fatigué.,0.231
18,Dama beug Agne,Je veux prendre un déjeuner,Je crois Agne.,0.312
19,Dama beug rére,Je veux prendre un dîner,Je n'aime pas ça.,0.325
20,Damay takk jabar,Je vais me marier,Je prends ma femme.,0.528
21,Mayma khaliss,Donne moi de l'argent,Je suis libre.,0.363
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,À quelle heure cela commence-t-il ?,0.699
23,Dama sonne,Je suis fatigué,Je suis fatigué.,1.000
24,Bu la neexee,S’il vous plaît,Si cela te plaît.,0.730
25,Amul sólo,Je vous en prie,Il n'y a pas de problème.,0.400
26,Kay niou dem,Viens on y va,Nous allons y aller.,0.526
27,Jéggël ma,Excusez-moi,Aide-moi.,0.529
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,As-tu entendu l'angale ?,0.457
29,Dégg nga ?,Comprenez-vous ?,As-tu compris ?,0.520
30,Dégg naa,Je comprends,J'ai entendu.,0.362
31,Dégguma,Je ne comprends pas,Je ne comprends pas.,1.000
32,Nanga tudd ?,Quel est ton nom ?,Comment t'appelles-tu ?,0.327
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,As-tu trouvé la paix ?,0.369
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,"Ici, à Sandaga, combien ça coûte ?",0.750
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,Qui est votre ami ?,0.428
36,Neexoon na,C'était bon,C'est bon.,0.690
37,Mi ngi ci jàmm,Il/Elle va bien,Je suis en paix.,0.316
38,Ñaata lay jar ?,Combien ça coûte ?,Combien ça coûte ?,1.000
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,Combien ça coûte ?,0.667
40,Seer na lool,C'est très cher,C'est vraiment beau.,0.608
41,Wagniil mako,Diminue moi ça,Il est moqueur.,0.490
